trading_ID,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
10101,2023-02-03,154.5,154357300,148.03,157.38,147.83,22
10103,2023-02-06,151.73,69858300,152.57,153.1,150.78,22
10105,2023-02-07,154.65,83322600,150.64,155.23,150.64,22
10107,2023-02-08,151.92,64120100,153.88,154.58,151.17,22
10109,2023-02-09,150.87,56007100,153.78,154.33,150.42,22
10111,2023-02-10,151.01,57450700,149.46,151.34,149.22,22
10113,2023-02-13,153.85,62199000,150.95,154.26,150.92,22
10115,2023-02-14,153.2,61707600,152.12,153.77,150.86,22
10117,2023-02-15,155.33,65573800,153.11,155.5,152.88,22
10119,2023-02-16,153.71,68167900,153.51,156.33,153.35,22
10121,2023-02-17,152.55,59144100,152.35,153,150.85,22
10123,2023-02-21,148.48,58867200,150.2,151.3,148.41,22
10125,2023-02-22,148.91,51011300,148.87,149.95,147.16,22
10127,2023-02-23,149.4,48394200,150.09,150.34,147.24,22
10129,2023-02-24,146.71,55469600,147.11,147.19,145.72,22
10131,2023-02-27,147.92,44998500,147.71,149.17,147.45,22
10133,2023-02-28,147.41,50547000,147.05,149.08,146.83,22
10135,2023-03-01,145.31,55479000,146.83,147.23,145.01,22
10137,2023-03-02,145.91,52238100,144.38,146.71,143.9,22
10139,2023-03-03,151.03,70732300,148.04,151.11,147.33,22
10141,2023-03-06,153.83,87558000,153.79,156.3,153.46,22
10143,2023-03-07,151.6,56182000,153.7,154.03,151.13,22
10145,2023-03-08,152.87,47204800,152.81,153.47,151.83,22
10147,2023-03-09,150.59,53833600,153.56,154.54,150.23,22
10149,2023-03-10,148.5,68572400,150.21,150.94,147.61,22
10151,2023-03-13,150.47,84457100,147.81,153.14,147.7,22
10153,2023-03-14,152.59,73695900,151.28,153.4,150.1,22
10155,2023-03-15,152.99,77167900,151.19,153.25,149.92,22
10157,2023-03-16,155.85,76161100,152.16,156.46,151.64,22
10159,2023-03-17,155,98944600,156.08,156.74,154.28,22
10161,2023-03-20,157.4,73641400,155.07,157.82,154.15,22
10163,2023-03-21,159.28,73938300,157.32,159.4,156.54,22
10165,2023-03-22,157.83,75701800,159.3,162.14,157.81,22
10167,2023-03-23,158.93,67622100,158.83,161.55,157.68,22
10169,2023-03-24,160.25,59196500,158.86,160.34,157.85,22
10171,2023-03-27,158.28,52390300,159.94,160.77,157.87,22
10173,2023-03-28,157.65,45992200,157.97,158.49,155.98,22
10175,2023-03-29,160.77,51305700,159.37,161.05,159.35,22
10177,2023-03-30,162.36,49501700,161.53,162.47,161.27,22
10179,2023-03-31,164.9,68749800,162.44,165,161.91,22
10181,2023-04-03,166.17,56976200,164.27,166.29,164.22,22
10183,2023-04-04,165.63,46278300,166.6,166.84,165.11,22
10185,2023-04-05,163.76,51511700,164.74,165.05,161.8,22
10187,2023-04-06,164.66,45390100,162.43,164.96,162,22
10189,2023-04-10,162.03,47716900,161.42,162.03,160.08,22
10191,2023-04-11,160.8,47644200,162.35,162.36,160.51,22
10193,2023-04-12,160.1,50133100,161.22,162.06,159.78,22
10195,2023-04-13,165.56,68445600,161.63,165.8,161.42,22
10197,2023-04-14,165.21,49386500,164.59,166.32,163.82,22
10199,2023-04-17,165.23,41516200,165.09,165.39,164.03,22
10201,2023-04-18,166.47,49923000,166.1,167.41,165.65,22
10203,2023-04-19,167.63,47720200,165.8,168.16,165.54,22
10205,2023-04-20,166.65,52456400,166.09,167.87,165.56,22
10207,2023-04-21,165.02,58337300,165.05,166.45,164.49,22
10209,2023-04-24,165.33,41949600,165,165.6,163.89,22
10211,2023-04-25,163.77,48714100,165.19,166.31,163.73,22
10213,2023-04-26,163.76,45498800,163.06,165.28,162.8,22
10215,2023-04-27,168.41,64902300,165.19,168.56,165.19,22
10217,2023-04-28,169.68,55209200,168.49,169.85,167.88,22
10219,2023-05-01,169.59,52472900,169.28,170.45,168.64,22
10221,2023-05-02,168.54,48425700,170.09,170.35,167.54,22
10223,2023-05-03,167.45,65136000,169.5,170.92,167.16,22
10225,2023-05-04,165.79,81235400,164.89,167.04,164.31,22
10227,2023-05-05,173.57,113316400,170.98,174.3,170.76,22
10229,2023-05-08,173.5,55962800,172.48,173.85,172.11,22
10231,2023-05-09,171.77,45326900,173.05,173.54,171.6,22
10233,2023-05-10,173.56,53724500,173.02,174.03,171.9,22
10235,2023-05-11,173.75,49514700,173.85,174.59,172.17,22
10237,2023-05-12,172.57,45497800,173.62,174.06,171,22
10239,2023-05-15,172.07,37266700,173.16,173.21,171.47,22
10241,2023-05-16,172.07,42110300,171.99,173.14,171.8,22
10243,2023-05-17,172.69,57951600,171.71,172.93,170.42,22
10245,2023-05-18,175.05,65496700,173,175.24,172.58,22
10247,2023-05-19,175.16,55772400,176.39,176.39,174.94,22
10249,2023-05-22,174.2,43570900,173.98,174.71,173.45,22
10251,2023-05-23,171.56,50747300,173.13,173.38,171.28,22
10253,2023-05-24,171.84,45143500,171.09,172.42,170.52,22
10255,2023-05-25,172.99,56058300,172.41,173.9,171.69,22
10257,2023-05-26,175.43,54835000,173.32,175.77,173.11,22
10259,2023-05-30,177.3,55964400,176.96,178.99,176.57,22
10261,2023-05-31,177.25,99625300,177.33,179.35,176.76,22
10263,2023-06-01,180.09,68901800,177.7,180.12,176.93,22
10265,2023-06-02,180.95,61945900,181.03,181.78,179.26,22
10267,2023-06-05,179.58,121946500,182.63,184.95,178.04,22
10269,2023-06-06,179.21,64848400,179.97,180.12,177.43,22
10271,2023-06-07,177.82,61944600,178.44,181.21,177.32,22
10273,2023-06-08,180.57,50214900,177.9,180.84,177.46,22
10275,2023-06-09,180.96,48870700,181.5,182.23,180.63,22
10277,2023-06-12,183.79,54274900,181.27,183.89,180.97,22
10279,2023-06-13,183.31,54929100,182.8,184.15,182.44,22
10281,2023-06-14,183.95,57462900,183.37,184.39,182.02,22
10283,2023-06-15,186.01,65433200,183.96,186.52,183.78,22
10285,2023-06-16,184.92,101235600,186.73,186.99,184.27,22
10287,2023-06-20,185.01,49799100,184.41,186.1,184.41,22
10289,2023-06-21,183.96,49515700,184.9,185.41,182.59,22
10291,2023-06-22,187,51245300,183.74,187.05,183.67,22
