trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
32410,2023-02-03,103.39,144374800,105.26,108.78,102.52,3
32412,2023-02-06,102.18,81945200,102.93,103.95,100.65,3
32414,2023-02-07,102.11,119501300,101.17,102.41,98.08,3
32416,2023-02-08,100.05,75878300,102.04,102.67,98.78,3
32418,2023-02-09,98.24,64622500,101.32,101.78,97.57,3
32420,2023-02-10,97.61,52740100,97.56,98.82,96.23,3
32422,2023-02-13,99.54,52841500,97.85,99.68,96.91,3
32424,2023-02-14,99.7,56202900,98.41,100.92,97.52,3
32426,2023-02-15,101.16,47957600,99.09,101.17,98.45,3
32428,2023-02-16,98.15,56339200,99.21,100.63,98.1,3
32430,2023-02-17,97.2,60029400,97.8,97.94,95.65,3
32432,2023-02-21,94.58,56580400,95.34,95.61,94.27,3
32434,2023-02-22,95.79,59534100,95.1,97.01,94.8,3
32436,2023-02-23,95.82,48467000,96.12,96.43,93.67,3
32438,2023-02-24,93.5,57053800,93.53,94.14,92.32,3
32440,2023-02-27,93.76,47470300,94.28,94.78,93.14,3
32442,2023-02-28,94.23,43959300,93.14,94.69,92.92,3
32444,2023-03-01,92.17,52299500,93.87,94.68,91.59,3
32446,2023-03-02,92.13,55509400,91.41,92.23,90.39,3
32448,2023-03-03,94.9,55759600,92.74,94.94,92.66,3
32450,2023-03-06,93.75,52112400,95.19,96.55,93.74,3
32452,2023-03-07,93.55,49100700,94.06,95.09,92.78,3
32454,2023-03-08,93.92,44899100,93.6,94.17,92.18,3
32456,2023-03-09,92.25,56218700,93.68,96.21,92.18,3
32458,2023-03-10,90.73,69827500,92.67,93.57,90.25,3
32460,2023-03-13,92.43,72397100,89.97,94.02,88.12,3
32462,2023-03-14,94.88,60912700,93.83,95.07,92.71,3
32464,2023-03-15,96.2,70731800,93.22,96.67,93.07,3
32466,2023-03-16,100.04,84446900,95.75,100.99,95.61,3
32468,2023-03-17,98.95,87300200,99.79,100.66,97.46,3
32470,2023-03-20,97.71,62388900,98.41,98.48,95.7,3
32472,2023-03-21,100.61,58597300,98.14,100.85,98,3
32474,2023-03-22,98.7,57475400,100.45,102.1,98.61,3
32476,2023-03-23,98.71,57559300,100.43,101.06,97.62,3
32478,2023-03-24,98.13,56095400,98.07,98.3,96.4,3
32480,2023-03-27,98.04,46721300,99.07,99.34,97.08,3
32482,2023-03-28,97.24,38720100,98.11,98.44,96.29,3
32484,2023-03-29,100.25,49783300,98.69,100.42,98.56,3
32486,2023-03-30,102,53633400,101.55,103.04,101.01,3
32488,2023-03-31,103.29,56750300,102.16,103.49,101.95,3
32490,2023-04-03,102.41,41135700,102.3,103.29,101.43,3
32492,2023-04-04,103.95,48662500,102.75,104.2,102.11,3
32494,2023-04-05,101.1,45175400,103.91,103.91,100.75,3
32496,2023-04-06,102.06,43808000,100.75,102.38,99.8,3
32498,2023-04-10,102.17,37261200,100.96,102.2,99.57,3
32500,2023-04-11,99.92,60417800,100.8,101,99.01,3
32502,2023-04-12,97.83,56735000,100.4,100.51,97.71,3
32504,2023-04-13,102.4,67925100,98.95,102.57,98.71,3
32506,2023-04-14,102.51,51450500,102.07,103.2,101.11,3
32508,2023-04-17,102.74,39919500,103.16,103.73,101.59,3
32510,2023-04-18,102.3,39790500,103.95,104.2,101.52,3
32512,2023-04-19,104.3,58398900,101.58,105.12,101.39,3
32514,2023-04-20,103.81,57696900,103.53,105.25,103.21,3
32516,2023-04-21,106.96,86774200,106.1,108.15,105.08,3
32518,2023-04-24,106.21,69575600,107.66,109.23,105.07,3
32520,2023-04-25,102.57,65026800,104.91,105.45,102.45,3
32522,2023-04-26,104.98,73803800,105.04,106.62,104.1,3
32524,2023-04-27,109.82,149961200,108.16,110.86,106.8,3
32526,2023-04-28,105.45,130565000,107.73,109.48,104.33,3
32528,2023-05-01,102.05,74728100,104.95,105.23,101.82,3
