trading_id,trading date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
60012,2023-02-03,514.80,1844100,519.13,521.55,512.50,7
60015,2023-02-06,515.59,1740100,514.44,517.22,512.27,7
60018,2023-02-07,516.53,1927300,511.99,517.99,507.39,7
60021,2023-02-08,503.81,2062900,511.29,512.18,501.56,7
60024,2023-02-09,500.63,1517300,505.29,509.16,498.42,7
60027,2023-02-10,499.99,1536800,498.51,500.55,495.38,7
60030,2023-02-13,506.45,1452600,501.74,506.79,501.35,7
60033,2023-02-14,503.22,1257300,505.01,507.85,498.63,7
60036,2023-02-15,511.28,1422600,502.73,511.42,501.34,7
60039,2023-02-16,504.10,1456000,503.61,510.73,503.60,7
60042,2023-02-17,507.48,1340400,504.27,507.71,501.84,7
60045,2023-02-21,501.74,1811800,500.82,503.99,496.55,7
60048,2023-02-22,497.39,1332000,503.92,505.46,496.60,7
60051,2023-02-23,493.14,1546300,498.80,498.86,487.86,7
60054,2023-02-24,488.61,1587600,488.58,490.36,484.70,7
60057,2023-02-27,487.03,1501700,492.55,493.00,485.68,7
60060,2023-02-28,484.18,1918200,485.60,488.88,483.78,7
60063,2023-03-01,478.67,1759300,481.10,482.58,475.02,7
60066,2023-03-02,485.69,2379200,477.36,487.43,475.56,7
60069,2023-03-03,475.26,5354200,474.83,476.00,465.33,7
60072,2023-03-06,483.08,3104700,476.52,488.82,475.52,7
60075,2023-03-07,485.15,2659100,486.10,495.21,485.00,7
60078,2023-03-08,486.04,1548500,483.00,486.88,481.14,7
60081,2023-03-09,479.52,1629400,487.48,490.00,478.62,7
60084,2023-03-10,471.14,2123000,478.98,480.46,468.38,7
60087,2023-03-13,472.00,1799600,466.80,476.69,466.80,7
60090,2023-03-14,481.92,2422900,475.43,485.16,473.00,7
60093,2023-03-15,485.66,2226300,481.51,487.02,478.54,7
60096,2023-03-16,487.26,1979600,484.93,488.14,482.76,7
60099,2023-03-17,487.05,3959300,489.07,489.90,481.51,7
60102,2023-03-20,489.29,1623800,488.00,490.79,485.72,7
60105,2023-03-21,490.85,1664000,493.00,493.00,485.99,7
60108,2023-03-22,487.52,1299700,489.46,496.62,487.35,7
60111,2023-03-23,487.76,1565900,490.69,493.25,484.29,7
60114,2023-03-24,495.27,1635200,486.94,495.97,486.56,7
60117,2023-03-27,493.22,1452100,497.28,499.86,492.51,7
60120,2023-03-28,486.77,1407800,492.61,494.06,485.41,7
60123,2023-03-29,490.87,1643000,489.20,491.30,485.90,7
60126,2023-03-30,491.48,1545500,493.00,495.74,491.00,7
60129,2023-03-31,496.87,2082000,495.00,498.36,493.94,7
60132,2023-04-03,497.03,1804700,496.50,499.20,495.00,7
60135,2023-04-04,497.73,1913300,496.50,502.58,495.50,7
60138,2023-04-05,497.13,1941500,499.00,504.13,495.16,7
60141,2023-04-06,485.98,4114700,482.00,487.85,477.50,7
60144,2023-04-10,493.83,1653600,483.90,493.90,481.66,7
60147,2023-04-11,498.65,1547400,493.83,499.99,493.00,7
60150,2023-04-12,489.35,2063700,500.00,500.05,488.54,7
60153,2023-04-13,497.89,1600500,493.49,498.44,490.31,7
60156,2023-04-14,491.30,1675300,496.19,500.37,490.16,7
60159,2023-04-17,493.94,1411800,492.77,497.89,491.15,7
60162,2023-04-18,496.90,1339600,496.10,497.63,494.12,7
60165,2023-04-19,496.03,1098800,497.13,497.99,493.83,7
60168,2023-04-20,505.58,2936500,495.75,510.66,495.51,7
60171,2023-04-21,506.35,1508600,509.37,510.64,505.46,7
60174,2023-04-24,511.42,1374100,506.10,511.69,505.81,7
60177,2023-04-25,503.17,1789900,511.13,513.13,502.26,7
60180,2023-04-26,494.66,1441900,500.42,502.87,493.39,7
60183,2023-04-27,501.27,1361600,494.83,502.26,494.83,7
60186,2023-04-28,503.22,1169400,501.56,504.83,500.64,7
60189,2023-05-01,493.59,2203200,499.15,500.05,488.80,7
60192,2023-05-02,494.81,1940800,495.00,495.68,489.81,7
60195,2023-05-03,490.06,1426400,496.60,498.78,489.66,7
60198,2023-05-04,490.34,1487000,488.94,490.91,485.93,7
60201,2023-05-05,499.06,1708200,493.20,499.40,492.98,7
60204,2023-05-08,499.06,1015000,497.37,500.25,495.70,7
60207,2023-05-09,500.79,1571800,496.96,501.74,496.39,7
60210,2023-05-10,499.66,1257600,501.95,504.97,495.10,7
60213,2023-05-11,501.89,1046700,499.51,503.00,497.55,7
60216,2023-05-12,504.07,1471900,503.17,506.03,501.20,7
60219,2023-05-15,502.04,1135700,504.01,505.00,498.86,7
60222,2023-05-16,496.15,1229300,500.00,500.29,494.30,7
60225,2023-05-17,495.00,2069500,498.00,498.01,491.90,7
