trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
72215,2023-02-03,362.58,1320500,367.22,373.03,361.54,8
72217,2023-02-06,358.13,1335400,364.02,367.00,357.64,8
72219,2023-02-07,363.61,953400,357.70,364.54,355.73,8
72221,2023-02-08,366.68,761000,363.61,369.89,363.33,8
72223,2023-02-09,362.36,1016800,367.89,369.99,362.26,8
72225,2023-02-10,368.07,919600,364.28,369.63,364.28,8
72227,2023-02-13,366.96,630500,368.42,369.43,366.04,8
72229,2023-02-14,365.85,839000,367.96,370.23,365.75,8
72231,2023-02-15,363.64,864900,364.76,366.18,362.95,8
72233,2023-02-16,363.75,590100,363.00,366.29,360.99,8
72235,2023-02-17,366.86,830300,363.70,368.94,363.12,8
72237,2023-02-21,361.51,851800,366.72,368.09,361.39,8
72239,2023-02-22,360.70,509900,361.78,363.14,360.00,8
72241,2023-02-23,360.33,1156700,361.00,364.95,355.66,8
72243,2023-02-24,359.14,653400,360.00,360.79,355.88,8
72245,2023-02-27,355.35,757400,360.09,360.95,353.82,8
72247,2023-02-28,349.81,1275800,353.93,354.63,347.80,8
72249,2023-03-01,351.75,719500,348.33,352.13,347.35,8
72251,2023-03-02,347.34,960200,351.71,351.88,346.22,8
72253,2023-03-03,345.67,1488700,348.55,349.95,342.93,8
72255,2023-03-06,347.89,1545400,344.61,347.93,341.20,8
72257,2023-03-07,337.33,1720900,348.16,348.83,336.54,8
72259,2023-03-08,338.28,976900,338.00,339.29,336.13,8
72261,2023-03-09,335.97,1057800,339.98,340.27,333.26,8
72263,2023-03-10,336.20,1040100,336.45,342.83,334.78,8
72265,2023-03-13,335.40,839800,334.20,342.64,333.89,8
72267,2023-03-14,336.50,918600,338.00,339.30,333.23,8
72269,2023-03-15,335.35,734200,333.52,336.09,331.75,8
72271,2023-03-16,339.92,753600,332.40,340.28,332.40,8
72273,2023-03-17,339.35,2415200,339.26,340.06,335.29,8
72275,2023-03-20,345.25,889300,341.16,346.98,340.15,8
72277,2023-03-21,347.47,767600,347.40,348.64,344.29,8
72279,2023-03-22,341.82,589600,347.49,349.83,341.74,8
72281,2023-03-23,335.83,859500,339.93,340.85,335.07,8
72283,2023-03-24,346.56,1011800,335.16,347.44,334.79,8
72285,2023-03-27,349.40,588300,350.20,351.15,347.45,8
72287,2023-03-28,354.48,884600,349.72,356.03,349.66,8
72289,2023-03-29,357.16,795200,355.18,358.09,354.55,8
72291,2023-03-30,357.78,819500,358.00,358.56,354.20,8
72293,2023-03-31,356.05,840300,359.69,361.50,355.23,8
72295,2023-04-03,363.77,1015400,358.58,365.01,356.96,8
72297,2023-04-04,362.99,894400,362.00,364.07,360.16,8
72299,2023-04-05,373.17,1176100,365.70,373.86,364.42,8
72301,2023-04-06,370.09,667800,375.06,376.19,369.67,8
72303,2023-04-10,370.77,765100,369.85,371.40,365.69,8
72305,2023-04-11,366.17,848400,370.56,371.67,365.28,8
72307,2023-04-12,362.56,804400,364.91,366.13,359.89,8
72309,2023-04-13,364.32,1029000,363.17,367.38,362.76,8
72311,2023-04-14,362.00,1546200,364.84,366.07,360.07,8
72313,2023-04-17,363.28,805000,361.18,363.36,357.90,8
72315,2023-04-18,360.26,690200,363.92,364.32,359.03,8
72317,2023-04-19,355.55,782200,360.09,360.93,354.19,8
72319,2023-04-20,359.27,692500,355.42,359.35,354.40,8
72321,2023-04-21,359.86,660000,362.71,363.04,358.09,8
72323,2023-04-24,361.92,565900,359.93,362.89,358.64,8
72325,2023-04-25,363.29,994900,362.90,364.99,361.90,8
72327,2023-04-26,359.24,750200,360.75,363.24,356.96,8
72329,2023-04-27,363.81,1211500,358.61,365.32,356.85,8
72331,2023-04-28,364.24,918000,362.83,366.00,362.11,8
72333,2023-05-01,354.01,1420000,365.16,365.16,353.68,8
72335,2023-05-02,361.00,1468200,353.25,362.30,353.25,8
72337,2023-05-03,354.42,809000,362.64,363.27,354.21,8
72339,2023-05-04,355.04,1041700,353.64,357.48,352.34,8
72341,2023-05-05,365.87,1431200,356.89,367.86,355.60,8
72343,2023-05-08,368.56,1191200,365.18,369.74,364.09,8
72345,2023-05-09,388.72,2170600,386.07,399.91,383.01,8
72347,2023-05-10,394.46,1244800,386.04,396.75,386.02,8
72349,2023-05-11,392.05,1456200,394.25,396.74,390.82,8
