trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
40021,2023-02-03,186.53,76809700,183.47,196.77,182.89,5
40023,2023-02-06,186.06,42483800,186.53,190.70,185.52,5
40025,2023-02-07,191.62,47080700,185.58,193.78,184.40,5
40027,2023-02-08,183.43,36139100,190.00,190.83,182.92,5
40029,2023-02-09,177.92,37118800,186.13,186.65,177.27,5
40031,2023-02-10,174.15,33433600,176.35,178.89,173.35,5
40033,2023-02-13,179.43,31463200,178.22,181.00,175.82,5
40035,2023-02-14,179.48,24034600,177.16,181.51,175.88,5
40037,2023-02-15,177.16,25308900,176.42,178.19,175.33,5
40039,2023-02-16,172.44,25827500,172.75,175.85,171.79,5
40041,2023-02-17,172.88,24171300,170.22,173.18,169.70,5
40043,2023-02-21,172.08,34592600,174.31,178.17,171.88,5
40045,2023-02-22,171.12,22433200,171.07,172.76,169.69,5
40047,2023-02-23,172.04,20017800,172.00,173.69,169.38,5
40049,2023-02-24,170.39,19791300,168.64,170.72,167.66,5
40051,2023-02-27,169.54,19277000,171.88,173.12,169.06,5
40053,2023-02-28,174.94,46051100,171.90,177.55,171.87,5
40055,2023-03-01,173.42,30998400,174.59,177.85,173.05,5
40057,2023-03-02,174.53,17352000,172.38,175.01,171.43,5
40059,2023-03-03,185.25,45877700,178.92,186.62,177.05,5
40061,2023-03-06,184.90,33209400,188.00,189.66,184.64,5
40063,2023-03-07,184.51,36701500,189.00,190.36,184.01,5
40065,2023-03-08,184.97,19432400,182.87,185.26,181.34,5
40067,2023-03-09,181.69,26582800,186.35,188.93,180.30,5
40069,2023-03-10,179.51,25665000,181.01,184.77,178.80,5
40071,2023-03-13,180.90,24728000,177.96,183.78,174.82,5
40073,2023-03-14,194.02,41642600,187.58,194.32,186.56,5
40075,2023-03-15,197.75,42123600,192.95,197.78,190.84,5
40077,2023-03-16,204.93,50447100,198.26,205.76,196.09,5
40079,2023-03-17,195.61,50141100,200.56,201.90,195.43,5
40081,2023-03-20,197.81,25186300,198.48,199.36,193.64,5
40083,2023-03-21,202.16,31827000,203.20,203.55,197.95,5
40085,2023-03-22,199.81,28477800,202.50,207.37,199.67,5
40087,2023-03-23,204.28,27389700,202.84,207.88,202.15,5
40089,2023-03-24,206.01,27716400,205.18,207.58,203.55,5
40091,2023-03-27,202.84,18527200,204.81,205.86,201.36,5
40093,2023-03-28,200.68,19127300,200.15,201.03,197.90,5
40095,2023-03-29,205.35,18851100,203.56,205.72,202.54,5
40097,2023-03-30,207.84,22608300,203.38,208.09,202.82,5
40099,2023-03-31,211.94,25440300,207.24,212.17,206.77,5
40101,2023-04-03,213.07,17924600,208.84,213.49,208.20,5
40103,2023-04-04,214.72,21026400,213.39,216.24,212.54,5
40105,2023-04-05,211.48,19396600,214.15,215.19,209.94,5
40107,2023-04-06,216.10,26104400,209.25,216.94,208.65,5
40109,2023-04-10,214.75,16106100,214.71,215.66,210.66,5
40111,2023-04-11,213.85,16710100,215.48,216.02,213.41,5
40113,2023-04-12,214.00,18972200,214.84,216.84,212.58,5
40115,2023-04-13,220.35,23310400,215.73,221.15,215.69,5
40117,2023-04-14,221.49,21591200,217.88,222.11,217.55,5
40119,2023-04-17,218.86,15481900,219.79,220.98,217.13,5
40121,2023-04-18,217.89,12281000,219.91,220.44,216.21,5
40123,2023-04-19,215.70,15898100,213.47,217.33,212.93,5
40125,2023-04-20,213.07,16475400,213.48,216.75,212.77,5
40127,2023-04-21,212.89,17717200,210.21,213.41,209.58,5
40129,2023-04-24,212.79,15750900,213.68,213.92,210.71,5
40131,2023-04-25,207.55,19198200,210.82,211.26,207.13,5
40133,2023-04-26,209.40,41992700,212.50,214.11,208.88,5
40135,2023-04-27,238.56,71196500,239.89,241.69,236.77,5
40137,2023-04-28,240.32,39554000,239.01,240.43,235.75,5
40139,2023-05-01,243.18,29143900,238.62,244.00,236.46,5
40141,2023-05-02,239.24,24350100,243.18,244.92,238.99,5
40143,2023-05-03,237.03,34463900,239.47,241.75,232.75,5
40145,2023-05-04,233.52,17889400,236.06,238.20,232.93,5
40147,2023-05-05,232.78,26978900,232.24,234.68,229.85,5
40149,2023-05-08,233.27,16400500,231.42,235.62,230.27,5
40151,2023-05-09,233.37,16865600,231.46,235.88,231.08,5
40153,2023-05-10,233.08,19119000,236.17,236.75,230.72,5
40155,2023-05-11,235.79,20449000,233.05,238.21,232.30,5
40157,2023-05-12,233.81,16155300,236.74,236.96,231.45,5
40159,2023-05-15,238.86,20653200,236.92,240.26,235.33,5
40161,2023-05-16,238.82,18163800,235.79,239.64,235.52,5
40163,2023-05-17,242.49,21193100,238.45,243.84,238.14,5
40165,2023-05-18,246.85,22943300,241.30,247.09,241.19,5
40167,2023-05-19,245.64,21599800,247.47,248.69,243.41,5
40169,2023-05-22,248.32,27738500,245.41,253.57,245.12,5
40171,2023-05-23,246.74,17748100,246.81,251.61,246.65,5
40173,2023-05-24,249.21,17724300,245.28,249.59,244.95,5
40175,2023-05-25,252.69,22371400,253.40,255.62,249.17,5
40177,2023-05-26,262.04,25727200,252.93,262.31,252.71,5
40179,2023-05-30,262.52,23816500,265.25,268.65,261.29,5
40181,2023-05-31,264.72,25473700,260.00,265.00,258.45,5
40183,2023-06-01,272.61,25609500,265.90,274.00,265.89,5
40185,2023-06-02,272.61,19405300,272.66,275.35,271.12,5
40187,2023-06-05,271.39,20742900,270.30,275.57,269.56,5
40189,2023-06-06,271.12,19419000,270.14,276.57,269.69,5
40191,2023-06-07,263.60,26163600,271.67,274.25,262.80,5
40193,2023-06-08,264.58,20899400,260.62,267.65,258.88,5
40195,2023-06-09,264.95,16938500,262.48,267.95,261.70,5
40197,2023-06-12,271.05,15442500,267.17,271.75,265.33,5
40199,2023-06-13,271.32,16164000,274.88,275.72,269.09,5
40201,2023-06-14,273.35,19175100,271.89,274.99,268.32,5
40203,2023-06-15,281.83,25973500,272.30,283.99,271.42,5
40205,2023-06-16,281.00,43102500,284.75,287.85,280.13,5
40207,2023-06-20,284.33,20701600,278.73,284.80,276.22,5
40209,2023-06-21,281.64,20556200,283.53,284.00,278.36,5
40211,2023-06-22,284.88,17563100,279.08,285.26,277.79,5
40213,2023-06-23,288.73,50988400,281.51,289.67,278.95,5
40215,2023-06-26,278.47,24232700,288.70,289.79,277.60,5
