trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
30021,2023-02-03,258.35,29077300,259.54,264.20,257.10,4
30023,2023-02-06,256.77,22518000,257.44,258.30,254.78,4
30025,2023-02-07,267.56,50841400,260.53,268.77,260.08,4
30027,2023-02-08,266.73,54686000,273.20,276.76,266.21,4
30029,2023-02-09,263.62,42375100,273.80,273.98,262.80,4
30031,2023-02-10,263.10,25818500,261.53,264.09,260.66,4
30033,2023-02-13,271.32,44630900,267.64,274.60,267.15,4
30035,2023-02-14,272.17,37047900,272.67,274.97,269.28,4
30037,2023-02-15,269.32,28922400,268.32,270.73,266.18,4
30039,2023-02-16,262.15,29603600,264.02,266.74,261.90,4
30041,2023-02-17,258.06,30000100,259.39,260.09,256.00,4
30043,2023-02-21,252.67,28397400,254.48,255.49,251.59,4
30045,2023-02-22,251.51,22491100,254.09,254.34,250.34,4
30047,2023-02-23,254.77,29219100,255.56,256.84,250.48,4
30049,2023-02-24,249.22,24990900,249.96,251.00,248.10,4
30051,2023-02-27,250.16,21190000,252.46,252.82,249.39,4
30053,2023-02-28,249.42,22491000,249.07,251.49,248.73,4
30055,2023-03-01,246.27,27565300,250.76,250.93,245.79,4
30057,2023-03-02,251.11,24808200,246.55,251.40,245.61,4
30059,2023-03-03,255.29,30760100,252.19,255.62,251.39,4
30061,2023-03-06,256.87,24109800,256.43,260.12,255.98,4
30063,2023-03-07,254.15,21473200,256.30,257.69,253.39,4
30065,2023-03-08,253.70,17340200,254.04,254.54,250.81,4
30067,2023-03-09,252.32,26653400,255.82,259.56,251.58,4
30069,2023-03-10,248.59,28333900,251.08,252.79,247.60,4
30071,2023-03-13,253.92,33339700,247.40,257.91,245.73,4
30073,2023-03-14,260.79,33620300,256.75,261.07,255.86,4
30075,2023-03-15,265.44,46028000,259.98,266.48,259.21,4
30077,2023-03-16,276.20,54768800,265.21,276.56,263.28,4
30079,2023-03-17,279.43,69527400,278.26,283.33,276.32,4
30081,2023-03-20,272.23,43466600,276.98,277.48,269.85,4
