trading_ID,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
82561,2023-02-03,144.71,248100,145.62,146.41,144.45,9
82563,2023-02-06,143.79,172100,144,144.4,142.97,9
82565,2023-02-07,144.64,166900,143.52,144.97,143.06,9
82567,2023-02-08,143.83,192400,144,144.64,143.31,9
82569,2023-02-09,144.83,334000,146.36,147.49,144.69,9
82571,2023-02-10,143.42,230100,143.67,143.98,142.51,9
82573,2023-02-13,143.86,197500,142.95,143.91,142.56,9
82575,2023-02-14,142.65,230400,142.8,143.12,141.55,9
82577,2023-02-15,140.97,387800,140.41,140.98,140.06,9
82579,2023-02-16,142.7,303200,141.4,143.66,141.32,9
82581,2023-02-17,142.85,145800,142.08,143.05,141.82,9
82583,2023-02-21,139.18,324000,140.16,140.58,138.73,9
82585,2023-02-22,138.65,178200,138.7,139.28,138.29,9
82587,2023-02-23,138.95,198100,139.03,139.49,138.15,9
82589,2023-02-24,136.05,218700,137.2,137.2,135.48,9
82591,2023-02-27,136.25,192100,137,137.14,135.96,9
82593,2023-02-28,135.92,212200,136.11,136.59,135.88,9
82595,2023-03-01,136.53,190900,136.66,137.49,136.5,9
82597,2023-03-02,137.27,145100,136.12,137.34,136.08,9
82599,2023-03-03,139.83,244700,138.57,139.92,138.4,9
82601,2023-03-06,140.13,175500,140.11,140.64,139.96,9
82603,2023-03-07,139.08,152600,141.28,141.39,138.75,9
82605,2023-03-08,139.71,138800,139.49,139.85,138.98,9
82607,2023-03-09,138.52,166000,140.18,140.68,138.26,9
82609,2023-03-10,137.97,343600,139.2,139.34,137.45,9
82611,2023-03-13,137.12,247400,136.41,137.76,136.33,9
82613,2023-03-14,136.67,221600,136.41,136.76,135.56,9
82615,2023-03-15,133.58,287800,135,135,132.35,9
82617,2023-03-16,135.9,190000,134.03,136.03,133.77,9
82619,2023-03-17,133.48,192500,135.56,135.56,133.27,9
82621,2023-03-20,135.13,277100,133.65,135.81,133.55,9
82623,2023-03-21,135.78,224500,135.2,136.17,135,9
82625,2023-03-22,135.57,301600,136.07,137.76,135.49,9
82627,2023-03-23,135.87,129600,136.62,137.1,135.18,9
82629,2023-03-24,136.65,155900,136.01,136.66,135.2,9
82631,2023-03-27,136.96,137300,136.69,137.31,136.43,9
82633,2023-03-28,137.93,210700,137.41,138.5,137.11,9
82635,2023-03-29,139.67,214300,139.6,140.54,139.31,9
82637,2023-03-30,139.62,193500,140,140.36,139.29,9
82639,2023-03-31,141.69,235000,140.99,141.76,140.9,9
82641,2023-04-03,142.34,232900,142,142.63,141.64,9
82643,2023-04-04,142.14,349200,143.04,143.05,141.67,9
82645,2023-04-05,140.42,220500,140.55,141.19,140.17,9
82647,2023-04-06,138.87,224000,139.19,139.37,138.21,9
82649,2023-04-10,138.01,347600,138.53,138.65,136.89,9
82651,2023-04-11,137.59,275900,137.54,138.04,137.23,9
82653,2023-04-12,136.44,283200,137.57,137.8,136.31,9
82655,2023-04-13,137.23,281600,137.05,137.49,136.3,9
82657,2023-04-14,135.96,279100,136.48,137.12,135.62,9
82659,2023-04-17,137.75,322200,136.71,137.79,136.66,9
82661,2023-04-18,137.04,199200,137.09,137.34,136.56,9
82663,2023-04-19,135.26,209500,135.9,135.9,134.79,9
82665,2023-04-20,133.8,513200,134,134.41,133.02,9
82667,2023-04-21,134.67,165800,134.42,134.79,133.39,9
82669,2023-04-24,134.84,222300,134.05,134.97,133.89,9
82671,2023-04-25,133.51,257100,134.75,134.94,133.46,9
82673,2023-04-26,134.02,324000,134.49,134.99,133.88,9
82675,2023-04-27,137.52,323600,135.76,137.84,135.76,9
82677,2023-04-28,137.33,300000,136.62,137.34,136.29,9
82679,2023-05-01,136.69,147400,137.33,137.59,136.55,9
82681,2023-05-02,135.16,221700,135.3,135.42,134.25,9
82683,2023-05-03,135.57,265900,135.91,136.43,135.31,9
82685,2023-05-04,134.91,241800,135.2,135.77,134.88,9
82687,2023-05-05,137.54,223900,136.21,137.93,135.73,9
82689,2023-05-08,137.81,187600,137.85,138.2,137.29,9
82691,2023-05-09,140.85,401300,141.44,141.76,140.58,9
82693,2023-05-10,143.59,506600,143.94,144.23,143.02,9
82695,2023-05-11,142.67,272400,141.91,142.68,141.25,9
82697,2023-05-12,143.27,293100,144.2,144.85,142.78,9
82699,2023-05-15,142.4,246200,141.89,142.41,141.28,9
82701,2023-05-16,141.13,165800,141.59,141.72,141,9
82703,2023-05-17,142.02,164600,141.13,142.18,141.13,9
82705,2023-05-18,142.51,188900,142.76,142.76,141.64,9
82707,2023-05-19,142.22,178400,142.07,142.44,141.71,9
82709,2023-05-22,141.19,194400,141.66,141.71,140.83,9
82711,2023-05-23,139.55,230000,138.55,140.32,138.51,9
82713,2023-05-24,139.33,223500,140.38,140.38,139.14,9
82715,2023-05-25,139.6,197500,139.11,139.98,138.81,9
82717,2023-05-26,140.08,171700,139.16,140.44,139.08,9
82719,2023-05-30,137.73,231800,139.56,139.56,137.37,9
82721,2023-05-31,136.13,256900,136.46,136.57,135.15,9
82723,2023-06-01,140.65,300100,139.65,140.86,139.22,9
82725,2023-06-02,146,353400,145,146.39,145,9
82727,2023-06-05,145.73,299100,145.82,146.45,145.46,9
82729,2023-06-06,148.48,435200,147,148.79,146.13,9
82731,2023-06-07,145.31,417900,145.23,146.03,145.19,9
82733,2023-06-08,146.86,264100,145.07,147,145.03,9
82735,2023-06-09,148.64,366600,148,149.14,147.91,9
82737,2023-06-12,149.59,289800,149.1,149.88,148.74,9
82739,2023-06-13,158.08,858200,157.89,159.1,157.29,9
82741,2023-06-14,165.57,952800,165.89,166.48,164.15,9
82743,2023-06-15,168.18,569400,164.14,169.07,164,9
82745,2023-06-16,164.35,420600,166.01,166.15,164.23,9
82747,2023-06-20,157.15,781100,158.7,159,156.82,9
82749,2023-06-21,156.5,238600,157,157.34,156.15,9
82751,2023-06-22,157.11,199500,157.01,157.79,156.73,9
82753,2023-06-23,153.38,338600,154,154.02,152.78,9
82755,2023-06-26,154.55,305400,155.38,155.62,153.91,9
82757,2023-06-27,157.18,283000,155.34,157.21,155.21,9
82759,2023-06-28,160.11,555200,159.12,160.6,158.9,9
82761,2023-06-29,160.4,347700,160.07,160.62,159.31,9
82763,2023-06-30,160.75,311100,160.14,161.21,160,9
82765,2023-07-03,160.47,110200,160.88,161.57,160.42,9
82767,2023-07-05,161.9,357400,162.31,162.31,161.35,9
82769,2023-07-06,160.83,268300,161.12,161.2,159.85,9
82771,2023-07-07,161.77,289700,161.04,162.97,161.04,9
82773,2023-07-10,160.24,266400,160,160.4,159.53,9
82775,2023-07-11,158.42,364800,158.04,158.55,157.5,9
82777,2023-07-12,159.27,248200,159.47,160.31,159.12,9
82779,2023-07-13,160.35,286400,160.69,160.9,160.15,9
82781,2023-07-14,159.15,255200,159.97,160,159.08,9
82783,2023-07-17,159.45,241300,159.4,159.59,158.17,9
82785,2023-07-18,163.19,435500,161.94,163.53,161.87,9
82787,2023-07-19,163.97,216700,164.95,164.98,163.68,9
82789,2023-07-20,163.28,217800,163.08,163.64,162.4,9
82791,2023-07-21,162.81,214400,163.58,163.68,162.6,9
82793,2023-07-24,164.53,212100,164.58,164.92,164.25,9
82795,2023-07-25,165.56,233300,165,165.8,164.74,9
82797,2023-07-26,165.7,162300,165.16,166.02,164.88,9
82799,2023-07-27,165.43,182200,165.87,166.73,165.38,9
82801,2023-07-28,167.15,292200,167.1,167.8,166.69,9
82803,2023-07-31,168.24,201300,168,168.57,167.81,9
82805,2023-08-01,171.84,526000,171.12,172.36,170.55,9
82807,2023-08-02,173.85,420200,173.96,175.37,173.19,9
82809,2023-08-03,168.57,421600,168.43,168.7,166.74,9
82811,2023-08-04,170.79,207200,171.69,172.41,170.65,9
82813,2023-08-07,173.39,230600,172.33,173.39,171.8,9
82815,2023-08-08,170.29,431700,169.38,170.35,168.39,9
82817,2023-08-09,167.23,320100,167.92,168.36,166.41,9
