trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
50026,2023-02-03,141.71,5718500,143.36,143.96,140.86,10
50028,2023-02-06,140.68,5818000,141.82,142.1,140.03,10
50030,2023-02-07,140.98,5447100,139.77,141.3,138.69,10
50032,2023-02-08,140.22,3897100,140.33,141.1,139.99,10
50034,2023-02-09,141.52,4354800,140.87,141.94,140.57,10
50036,2023-02-10,143.72,5000900,143.09,143.94,142.17,10
50038,2023-02-13,145.91,5338600,144.71,146.12,144.51,10
50040,2023-02-14,145.49,4610400,145.73,147.13,144.56,10
50042,2023-02-15,146.57,4891400,144.96,146.6,144.56,10
50044,2023-02-16,144.27,5437400,145.48,145.99,144.18,10
50046,2023-02-17,146.44,8256900,145.11,146.69,144.57,10
50048,2023-02-21,147.33,18131300,142.88,148.34,142.15,10
50050,2023-02-22,144.24,9948000,146.77,147.57,142.76,10
50052,2023-02-23,142.09,7340400,144.37,144.37,140.71,10
50054,2023-02-24,142.47,6874500,140.84,142.74,139.53,10
50056,2023-02-27,141.44,5549100,142.71,143.09,140.66,10
50058,2023-02-28,142.13,6018000,141,142.65,140.95,10
50060,2023-03-01,140.15,4726700,141.06,141.28,139.37,10
50062,2023-03-02,140.5,4928500,139.84,140.74,139.5,10
50064,2023-03-03,140.67,5629600,141.04,141.19,139.77,10
50066,2023-03-06,140.65,5573600,140.5,140.98,140.02,10
50068,2023-03-07,139.25,5795800,141.18,141.68,138.79,10
50070,2023-03-08,138.1,6363600,138.56,138.92,137.28,10
50072,2023-03-09,137.17,5138600,138.83,138.98,136.92,10
50074,2023-03-10,136.97,6688400,137.02,138.28,136.09,10
50076,2023-03-13,137.37,9380700,136.68,138.5,136.58,10
50078,2023-03-14,138.1,8514200,137.69,138.27,137,10
50080,2023-03-15,139.64,11044500,136.89,139.81,136.71,10
50082,2023-03-16,138.28,9635200,139.43,139.65,137.88,10
50084,2023-03-17,139.4,14360400,138.19,139.49,137.59,10
50086,2023-03-20,140.9,11309500,140.1,141.92,139.81,10
